timestamp,client,command,args
"11:43:45.899","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:45.904","[0 148.135.17.41:60752]","PING",""
"11:43:46.900","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:46.942","[0 148.135.17.41:41514]","PING",""
"11:43:47.900","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:48.392","[0 148.135.17.41:60748]","PING",""
"11:43:48.901","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:48.966","[0 148.135.17.41:60752]","PING",""
"11:43:49.901","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:50.004","[0 148.135.17.41:41514]","PING",""
"11:43:50.901","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:51.453","[0 148.135.17.41:60748]","PING",""
"11:43:51.791","[0 148.135.17.41:41578]","EVALSHA","""dc47cdb2b676438ae1554b1d3531f7207afba383"" ""1"" ""concurrency:account:1"" ""1800"""
"11:43:51.792","[0 lua]","TIME",""
"11:43:51.792","[0 lua]","ZREMRANGEBYSCORE","""concurrency:account:1"" ""-inf"" ""1776482031"""
"11:43:51.792","[0 lua]","ZCARD","""concurrency:account:1"""
"11:43:51.792","[0 lua]","DEL","""concurrency:account:1"""
"11:43:51.850","[0 148.135.17.41:41578]","EVALSHA","""dc47cdb2b676438ae1554b1d3531f7207afba383"" ""1"" ""concurrency:account:3"" ""1800"""
"11:43:51.850","[0 lua]","TIME",""
"11:43:51.850","[0 lua]","ZREMRANGEBYSCORE","""concurrency:account:3"" ""-inf"" ""1776482031"""
"11:43:51.850","[0 lua]","ZCARD","""concurrency:account:3"""
"11:43:51.850","[0 lua]","DEL","""concurrency:account:3"""
"11:43:51.902","[0 148.135.17.41:41596]","GET","""sched:outbox:watermark"""
"11:43:51.909","[0 148.135.17.41:41578]","EVALSHA","""dc47cdb2b676438ae1554b1d3531f7207afba383"" ""1"" ""concurrency:account:2"" ""1800"""
"11:43:51.909","[0 lua]","TIME",""
"11:43:51.909","[0 lua]","ZREMRANGEBYSCORE","""concurrency:account:2"" ""-inf"" ""1776482031"""
"11:43:51.909","[0 lua]","ZCARD","""concurrency:account:2"""
"11:43:51.909","[0 lua]","DEL","""concurrency:account:2"""
"11:43:52.029","[0 148.135.17.41:60752]","PING",""
"11:43:52.477","[0 148.135.17.41:41578]","SCAN","""0"" ""match"" ""umq:{*}:lock"" ""count"" ""100"""
"11:43:52.901","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:53.066","[0 148.135.17.41:41514]","PING",""
"11:43:53.111","[0 148.135.17.41:41578]","SET","""ops:scheduled_reports:leader"" ""897592f7-2e16-4a0b-8e05-46b12581414c"" ""ex"" ""300"" ""nx"""
"11:43:53.307","[0 148.135.17.41:41578]","EVALSHA","""e270ab10bc07b1effd500178ab753f24d623df71"" ""1"" ""ops:scheduled_reports:leader"" ""897592f7-2e16-4a0b-8e05-46b12581414c"""
"11:43:53.307","[0 lua]","GET","""ops:scheduled_reports:leader"""
"11:43:53.307","[0 lua]","DEL","""ops:scheduled_reports:leader"""
"11:43:53.902","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:54.514","[0 148.135.17.41:60748]","PING",""
"11:43:54.902","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:55.091","[0 148.135.17.41:60752]","PING",""
"11:43:55.902","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:56.130","[0 148.135.17.41:41514]","PING",""
"11:43:56.902","[0 148.135.17.41:41578]","GET","""sched:outbox:watermark"""
"11:43:57.575","[0 148.135.17.41:60748]","PING",""
"11:43:57.737","[0 148.135.17.41:41578]","SET","""ops:metrics:collector:leader"" ""c1894c01-0afd-46aa-bc1f-19342310d780"" ""ex"" ""90"" ""nx"""
"11:43:57.865","[0 148.135.17.41:41578]","PING",""
"11:43:57.903","[0 148.135.17.41:41596]","GET","""sched:outbox:watermark"""
"11:43:58.153","[0 148.135.17.41:60752]","PING",""
"11:43:58.903","[0 148.135.17.41:41596]","GET","""sched:outbox:watermark"""
"11:43:59.192","[0 148.135.17.41:41514]","PING",""
"11:43:59.227","[0 148.135.17.41:41596]","TIME",""
"11:43:59.287","[0 148.135.17.41:41596]","ZREMRANGEBYSCORE","""concurrency:account:1"" ""-inf"" ""1776482039"""
"11:43:59.287","[0 148.135.17.41:41596]","ZCARD","""concurrency:account:1"""
"11:43:59.287","[0 148.135.17.41:41596]","GET","""wait:account:1"""
"11:43:59.287","[0 148.135.17.41:41596]","ZREMRANGEBYSCORE","""concurrency:account:3"" ""-inf"" ""1776482039"""
"11:43:59.287","[0 148.135.17.41:41596]","ZCARD","""concurrency:account:3"""
"11:43:59.287","[0 148.135.17.41:41596]","GET","""wait:account:3"""
"11:43:59.287","[0 148.135.17.41:41596]","ZREMRANGEBYSCORE","""concurrency:account:2"" ""-inf"" ""1776482039"""
"11:43:59.287","[0 148.135.17.41:41596]","ZCARD","""concurrency:account:2"""
"11:43:59.287","[0 148.135.17.41:41596]","GET","""wait:account:2"""
"11:43:59.623","[0 148.135.17.41:41596]","EVALSHA","""e270ab10bc07b1effd500178ab753f24d623df71"" ""1"" ""ops:metrics:collector:leader"" ""c1894c01-0afd-46aa-bc1f-19342310d780"""
"11:43:59.623","[0 lua]","GET","""ops:metrics:collector:leader"""
"11:43:59.623","[0 lua]","DEL","""ops:metrics:collector:leader"""
